page,action,method,input_name,input_type,input_value,link_count
http://localhost:8080/instructions.php?doc=readme,,,,,,8
http://localhost:8080/instructions.php?doc=changelog,,,,,,8
http://localhost:8080/vulnerabilities/fi/?page=file2.php,http://localhost:8080/vulnerabilities/fi/login.php,POST,username,text,,0
http://localhost:8080/vulnerabilities/fi/?page=file2.php,http://localhost:8080/vulnerabilities/fi/login.php,POST,password,password,,0
http://localhost:8080/vulnerabilities/fi/?page=file2.php,http://localhost:8080/vulnerabilities/fi/login.php,POST,Login,submit,Login,0
http://localhost:8080/vulnerabilities/fi/?page=file2.php,http://localhost:8080/vulnerabilities/fi/login.php,POST,user_token,hidden,6ddcb94e1204e7e0dfff869ce7867052,0
http://localhost:8080/vulnerabilities/fi/?page=file3.php,http://localhost:8080/vulnerabilities/fi/login.php,POST,username,text,,0
http://localhost:8080/vulnerabilities/fi/?page=file3.php,http://localhost:8080/vulnerabilities/fi/login.php,POST,password,password,,0
http://localhost:8080/vulnerabilities/fi/?page=file3.php,http://localhost:8080/vulnerabilities/fi/login.php,POST,Login,submit,Login,0
http://localhost:8080/vulnerabilities/fi/?page=file3.php,http://localhost:8080/vulnerabilities/fi/login.php,POST,user_token,hidden,9db646d75d07842798ecd4adbf239470,0
http://localhost:8080/vulnerabilities/fi/?page=file1.php,http://localhost:8080/vulnerabilities/fi/login.php,POST,username,text,,0
http://localhost:8080/vulnerabilities/fi/?page=file1.php,http://localhost:8080/vulnerabilities/fi/login.php,POST,password,password,,0
http://localhost:8080/vulnerabilities/fi/?page=file1.php,http://localhost:8080/vulnerabilities/fi/login.php,POST,Login,submit,Login,0
http://localhost:8080/vulnerabilities/fi/?page=file1.php,http://localhost:8080/vulnerabilities/fi/login.php,POST,user_token,hidden,6f8b86ea7e6b4e3e2152fe0b42d0de7f,0
http://localhost:8080/docs/DVWA_v1.3.pdf,,,,,,0
